Latitude,Longitude,Heading,ShipName,Date,LadenState
-3.233867,116.412788,248,WEI FONG,31/12/2014,Laden
-23.6414,151.526033,1,BERGE MATTERHORN,31/12/2014,Laden
-34.0124,28.4563,49,JIMEI SHUNHAO,31/12/2014,Laden
31.305117,121.559982,356,SHI DAI 6,31/12/2014,Unladen
25.2487,-87.412,337,BULK PATRIOT,31/12/2014,Unladen
25.04985,122.46135,13,GUOFENG FIRST,31/12/2014,Laden
-20.109,118.541167,304,BERGE PROSPERITY,31/12/2014,Unladen
26.385733,122.90215,3,STAR BIG,31/12/2014,Laden
22.707,70.0205,329,CAPE CANADA,31/12/2014,Laden
8.12975,117.514,242,IRON QUEEN,31/12/2014,Laden
31.2671,-64.0109,245,SKS TYNE,31/12/2014,Unladen
36.1685,-3.343,83,SKS TANA,31/12/2014,Laden
-37.8469,7.74825,94,JAG ARJUN,31/12/2014,Laden
5.96697,87.368,269.7,ZED,31/12/2014,Laden
6.3313,94.7404,268,ELEFSIS,31/12/2014,Laden
38.8137,118.506132,94,JINHAIXIANG,31/12/2014,Laden
38.9466,118.11,355,OCEAN RICH,31/12/2014,Unladen
21.391,-63.4749,63,CAPE CARMEL,31/12/2014,Unladen
-31.0638,35.3974,70,QUORN,31/12/2014,Laden
-15.9772,72.6906,58,SILVER MASTER,31/12/2014,Laden
23.1939,119.914,4,HONG MERIT,31/12/2014,Laden
21.612632,114.190767,155,GLORIEVER,31/12/2014,Unladen
49.839887,-4.819377,258,SCF SUEK,31/12/2014,Unladen
16.9095,-67.4103,229,HARMEN OLDENDORFF,31/12/2014,Unladen
14.684567,120.08865,11,ORE MOATIZE,31/12/2014,Unladen
29.7779,122.07,226,AQUAGEM,31/12/2014,Unladen
40.7,-52.6087,259,AQUAGRACE,31/12/2014,Unladen
22.500022,113.837045,135,KYTHNOS WARRIOR,31/12/2014,Unladen
35.088205,119.36971,354,VOGECARRIER,31/12/2014,Laden
-17.6893,152.741,348,NGMSAILOR,31/12/2014,Laden
29.7301,49.4196,306,SOTIRIA,31/12/2014,Laden
-3.06133,109.554,183,RAFAELO,31/12/2014,Laden
-15.5077,71.4837,247,BERGE FUJI,31/12/2014,Unladen
53.3594,-152.853,279,GASPAR,31/12/2014,Laden
-21.2676,149.431,60,C.OASIS,31/12/2014,Unladen
8.84443,76.2529,339,AGIA MARKELLA,31/12/2014,Laden
17.6593,83.4059,48.8,HAPPY DAY,31/12/2014,Laden
-18.6501,62.2996,60,STAR YANDI,31/12/2014,Laden
40.3602,26.6414,218,SKS TWEED,31/12/2014,Unladen
-21.2639,149.313,348,NORTH PRINCESS,31/12/2014,Unladen
-25.9061,154.292,185,BLUEBELL,31/12/2014,Unladen
19.9207,70.8469,50,INDIA COAL MARU,31/12/2014,Laden
-9.267667,115.790817,180,ALPHA FRIENDSHIP,31/12/2014,Unladen
1.128,103.506667,120,NATTY,31/12/2014,Laden
-14.182,110.354,137,TANGO,31/12/2014,Unladen
-5.995327,105.964825,227,K. PHOENIX,31/12/2014,Laden
4.86152,119.639,353,TAI HANG 6,31/12/2014,Laden
-3.89815,115.740617,277,ZHONG JIAN,31/12/2014,Unladen
0.593098,55.2898,21,THE GUIDE,31/12/2014,Laden
22.5091,120.259,131,CAPE OLIVE,31/12/2014,Laden
11.8847,121.106,345,PACIFIC NAVIGATOR,31/12/2014,Laden
49.9809,-66.8497,253,CAPE MARY,31/12/2014,Unladen
-20.808,65.8068,46,EVA N,31/12/2014,Laden
